size,count
8794,1
8807,3
8827,3
8839,1
8840,1
8848,1
8854,1
8907,3
8908,1
8919,1
8926,1
8969,1
8970,1
8983,1
9000,1
9040,1
9054,1
9067,4
9078,1
9089,1
9094,1
9104,3
9150,1
9151,1
9157,3
9173,1
9177,5
9180,1
9193,1
9206,1
9231,2
9232,5
9261,1
9263,1
9268,1
9289,2
9297,3
9300,1
9314,1
9319,1
9325,1
9331,1
9344,3
9386,2
9393,1
9416,1
9441,1
9442,3
9486,1
9494,1
9501,2
9504,3
9522,3
9533,1
9534,2
9580,1
9590,1
9607,3
9631,1
9651,1
9656,1
9697,3
9752,3
9782,3
9785,2
9796,1
9808,1
9841,1
9854,1
9864,1
9884,1
9917,3
9935,1
9948,1
9964,1
9967,3
10009,1
10024,1
10027,3
10028,1
10030,2
10045,1
10047,3
10080,1
10130,3
10132,5
10136,2
10145,1
10173,1
10181,1
10191,1
10234,1
10262,3
10271,1
10283,1
10308,1
10309,1
10330,3
10333,2
10341,1
10344,1
10373,1
10384,1
10389,1
10401,3
10431,1
10462,3
10463,1
10493,1
10502,3
10506,1
10512,3
10513,3
10555,1
10561,1
10563,2
10567,3
10611,1
10620,1
10625,1
10632,3
10656,2
10679,1
10685,1
10704,1
10711,1
10718,3
10724,1
10729,1
10748,3
10751,2
10759,1
10798,2
10812,3
10833,1
10841,2
10872,4
10894,3
10904,3
10910,1
10913,1
10927,3
10930,1
10931,1
10957,3
10959,1
10963,1
10991,1
11006,1
11013,1
11017,3
11047,3
11061,1
11068,1
11083,2
11118,1
11129,1
11136,5
11192,3
11198,1
11206,1
11212,3
11254,1
11268,1
11309,1
11312,6
11347,3
11356,1
11360,1
11363,1
11383,1
11385,1
11417,3
11468,1
11484,1
11494,1
11507,5
11525,1
11532,3
11557,3
11558,2
11565,1
11582,3
11586,4
11612,3
11622,3
11626,1
11642,3
11666,1
11677,3
11687,3
11716,1
11717,3
11759,3
11775,2
11776,4
11777,3
11787,3
11805,1
11824,1
11841,1
11886,1
11888,1
11923,1
11926,1
11949,3
11953,1
11957,3
12028,2
12038,1
12068,1
12092,3
12120,1
12121,3
12148,1
12159,1
12164,1
12165,1
12197,3
12199,1
12201,1
12203,1
12211,1
12212,3
12227,3
12236,1
12247,6
12253,1
12270,1
12286,1
12297,3
12300,2
12302,3
12348,1
12355,1
12371,1
12372,3
12389,3
12390,1
12408,1
12434,1
12436,1
12438,1
12442,3
12451,1
12458,2
12467,3
12493,1
12499,1
12508,1
12522,3
12553,1
12558,1
12583,1
12595,1
12606,2
